"","seed","graph","dim","method","selector","elapsed_time_model","total_ram_model","peak_ram_model","elapsed_time_best","total_ram_best","peak_ram_best","f1","precision","recall","hamming_dist","best"
"57",123,"scale-free",250,"mb","stars",0.782,1.6,38.7,12.359,2.1,47,0.19360568383659,0.124287343215507,0.437751004016064,1816,0
"58",123,"scale-free",500,"mb","stars",1.626,3.8,43.7,29.813,3.90000000000001,75.4,0.0968684759916493,0.0611814345991561,0.232464929859719,4326,0
"59",123,"scale-free",750,"mb","stars",3.483,6.5,63.8,62.804,3.4,108.2,0.0357462019660411,0.0191552533282253,0.267022696929239,21580,0
"60",123,"scale-free",1000,"mb","stars",6.00699999999998,9.50000000000001,127.2,107.253,1.8,158,0.0271457535480964,0.0143820492928328,0.241241241241241,34548,0
"61",123,"MB",100,"glasso","stars",0.425,1.6,2,7.161,0.399999999999999,10.2,0.698602794411178,0.616197183098592,0.806451612903226,302,0
"62",123,"MB",250,"glasso","stars",0.972999999999999,9.6,11,20.399,0.699999999999996,57.1,0.600671140939597,0.5,0.752100840336134,952,0
"63",123,"MB",500,"glasso","stars",4.939,38.2,43.9,112.569,-2.3,159.7,0.457733480989295,0.336408030385241,0.715935334872979,2938,0
"64",123,"MB",750,"glasso","stars",15.056,85.8,98.7,316.266,-29.5,245.8,0.468983268983269,0.353649068322981,0.695951107715814,4126,0
"65",123,"MB",1000,"glasso","stars",53,152.6,175.5,1212.021,-73.3,417.5,0.360540970564837,0.244181034482759,0.688753799392097,8038,0
"71",123,"MB",100,"mb","stars",0.557,0.600000000000001,9.9,6.905,0.5,9.3,0.755980861244019,0.786069651741294,0.728110599078341,204,0
"72",123,"MB",250,"mb","stars",0.645,1.2,38.7,9.843,1.5,38.1,0.486687306501548,0.34503950834065,0.82563025210084,1658,0
"73",123,"MB",500,"mb","stars",1.266,3.2,47.6,23.257,3.7,80.3,0.31373449701424,0.195814220183486,0.788683602771363,5976,0
"74",123,"MB",750,"mb","stars",2.197,5.09999999999999,71.3,41.872,1.8,89.7,0.184414726762424,0.103378065710319,0.853323147440795,19760,0
"75",123,"MB",1000,"mb","stars",3.89100000000002,7.49999999999999,110.5,69.835,1.80000000000001,140.4,0.144084321475626,0.0788805539526832,0.831003039513678,32482,0
"76",42,"hub",100,"glasso","stars",0.429,1.6,2,7.176,0.600000000000001,10.3,0.54140127388535,0.388127853881279,0.894736842105263,288,0
"77",42,"hub",250,"glasso","stars",0.884,9.5,11,18.408,0.299999999999997,56.7,0.588235294117647,0.498533724340176,0.717299578059072,476,0
"78",42,"hub",500,"glasso","stars",4.605,38.1,43.9,105.303,-2.30000000000001,158.4,0.481828839390387,0.333874898456539,0.865263157894737,1768,0
"79",42,"hub",750,"glasso","stars",13.567,85.9,98.7,298.545,-29.7,242.1,0.158596659858224,0.086716594402838,0.926966292134832,14006,0
"80",42,"hub",1000,"glasso","stars",51.268,152.6,175.5,1195.866,-73.9,552.9,0.103485529083982,0.0546973613031196,0.957894736842105,31534,0
"86",42,"hub",100,"mb","stars",0.551,0.600000000000001,10.2,6.951,0.5,9.7,0.633204633204633,0.5,0.863157894736842,190,0
"87",42,"hub",250,"mb","stars",0.654,1.1,38.4,9.844,1.4,37.7,0.36609558160505,0.232798165137615,0.856540084388186,1406,0
"88",42,"hub",500,"mb","stars",1.245,3.1,44.2,22.501,3.40000000000001,77.4,0.253325621746674,0.14683204827355,0.922105263157895,5164,0
"89",42,"hub",750,"mb","stars",2.165,4.8,66.2,40.683,1.90000000000001,112.3,0.11797082836437,0.0631072725488272,0.903089887640449,19230,0
"90",42,"hub",1000,"mb","stars",3.617,7.40000000000001,99.6,70.035,2,165.7,0.0969356879573087,0.0511406513031869,0.927368421052632,32830,0
"91",42,"cluster",100,"glasso","stars",0.423,1.6,2,7.197,0.5,10.5,0.422535211267606,0.522388059701492,0.35472972972973,574,0
"92",42,"cluster",250,"glasso","stars",0.895000000000001,9.5,10.9,18.509,0.699999999999996,55,0.445814977973568,0.587006960556845,0.359375,1258,0
"93",42,"cluster",500,"glasso","stars",5.221,38.2,43.9,118.993,-1.80000000000001,158,0.282222222222222,0.232494279176201,0.359010600706714,5168,0
"94",42,"cluster",750,"glasso","stars",14.82,85.8,98.7,309.448,-29.8,322.8,0.207341450118117,0.128245476003147,0.541014698909436,17448,0
